feature1,feature2,spearman_r,p_value
AL_65,AL_116,0.5333,0.0
AL_65,AL_182,0.5333,0.0
AL_65,AL_149,0.5333,0.0
AL_65,AL_101,0.5333,0.0
AL_65,AL_158,0.5333,0.0
AL_65,AL_104,0.5333,0.0
AL_65,AL_146,0.5333,0.0
AL_65,AL_107,0.5333,0.0
AL_65,AL_110,0.5333,0.0
AL_65,AL_113,0.5333,0.0
AL_65,AL_176,0.5333,0.0
AL_49,AL_287,0.5333,0.0
AL_65,AL_143,0.5333,0.0
AL_65,AL_179,0.5333,0.0
AL_65,AL_119,0.5333,0.0
AL_65,AL_122,0.5333,0.0
AL_65,AL_161,0.5333,0.0
AL_65,AL_125,0.5333,0.0
AL_47,AL_148,0.5333,0.0
AL_14,AL_266,0.5332,0.0
AL_127,AL_129,0.5332,0.0
AL_8,AL_243,0.5332,0.0
AL_47,AL_181,0.5332,0.0
AL_71,AL_271,0.5332,0.0
AL_130,AL_216,0.5332,0.0
AL_216,AL_294,0.5332,0.0
AL_41,AL_109,0.5331,0.0
AL_55,AL_112,0.5331,0.0
AL_62,AL_175,0.533,0.0
AL_70,AL_279,0.533,0.0
AL_70,AL_275,0.5329,0.0
AL_25,AL_89,0.5329,0.0
AL_52,AL_275,0.5329,0.0
AL_40,AL_103,0.5329,0.0
AL_52,AL_69,0.5328,0.0
AL_56,AL_203,0.5328,0.0
AL_45,AL_65,0.5328,0.0
AL_215,AL_259,0.5328,0.0
AL_40,AL_107,0.5327,0.0
AL_40,AL_110,0.5327,0.0
AL_40,AL_101,0.5327,0.0
AL_40,AL_116,0.5327,0.0
AL_8,AL_224,0.5327,0.0
AL_40,AL_119,0.5327,0.0
AL_40,AL_104,0.5327,0.0
AL_19,AL_77,0.5327,0.0
AL_40,AL_122,0.5327,0.0
AL_40,AL_113,0.5327,0.0
AL_40,AL_182,0.5327,0.0
AL_40,AL_167,0.5327,0.0
AL_40,AL_146,0.5327,0.0
AL_40,AL_161,0.5327,0.0
AL_40,AL_158,0.5327,0.0
AL_40,AL_173,0.5327,0.0
AL_40,AL_176,0.5327,0.0
AL_40,AL_155,0.5327,0.0
AL_40,AL_152,0.5327,0.0
AL_40,AL_179,0.5327,0.0
AL_40,AL_149,0.5327,0.0
AL_40,AL_164,0.5327,0.0
AL_40,AL_170,0.5327,0.0
AL_40,AL_140,0.5327,0.0
AL_40,AL_134,0.5327,0.0
AL_40,AL_128,0.5327,0.0
AL_40,AL_137,0.5327,0.0
AL_40,AL_131,0.5327,0.0
AL_40,AL_143,0.5327,0.0
AL_40,AL_125,0.5327,0.0
AL_118,AL_216,0.5326,0.0
AL_216,AL_274,0.5326,0.0
AL_73,AL_77,0.5326,0.0
AL_62,AL_100,0.5326,0.0
AL_47,AL_139,0.5326,0.0
AL_33,AL_35,0.5325,0.0
AL_52,AL_211,0.5325,0.0
AL_71,AL_235,0.5325,0.0
AL_42,AL_52,0.5325,0.0
AL_8,AL_266,0.5325,0.0
AL_77,AL_296,0.5325,0.0
AL_48,AL_67,0.5325,0.0
AL_51,AL_73,0.5325,0.0
AL_181,AL_216,0.5324,0.0
AL_19,AL_97,0.5324,0.0
AL_26,AL_203,0.5324,0.0
AL_71,AL_287,0.5324,0.0
AL_62,AL_109,0.5324,0.0
AL_59,AL_161,0.5323,0.0
AL_59,AL_164,0.5323,0.0
AL_59,AL_167,0.5323,0.0
AL_59,AL_170,0.5323,0.0
AL_59,AL_152,0.5323,0.0
AL_59,AL_173,0.5323,0.0
AL_59,AL_176,0.5323,0.0
AL_59,AL_158,0.5323,0.0
AL_59,AL_155,0.5323,0.0
AL_59,AL_179,0.5323,0.0
AL_169,AL_216,0.5323,0.0
AL_59,AL_182,0.5323,0.0
AL_48,AL_49,0.5323,0.0
AL_59,AL_101,0.5323,0.0
AL_14,AL_275,0.5323,0.0
AL_59,AL_149,0.5323,0.0
AL_59,AL_104,0.5323,0.0
AL_59,AL_107,0.5323,0.0
AL_59,AL_110,0.5323,0.0
AL_59,AL_113,0.5323,0.0
AL_59,AL_116,0.5323,0.0
AL_59,AL_119,0.5323,0.0
AL_59,AL_122,0.5323,0.0
AL_59,AL_125,0.5323,0.0
AL_59,AL_128,0.5323,0.0
AL_59,AL_131,0.5323,0.0
AL_59,AL_134,0.5323,0.0
AL_59,AL_137,0.5323,0.0
AL_52,AL_230,0.5323,0.0
AL_59,AL_143,0.5323,0.0
AL_59,AL_146,0.5323,0.0
AL_59,AL_140,0.5323,0.0
AL_40,AL_178,0.5322,0.0
AL_54,AL_61,0.5322,0.0
AL_14,AL_252,0.5322,0.0
AL_41,AL_145,0.5322,0.0
AL_42,AL_67,0.5322,0.0
AL_14,AL_230,0.5322,0.0
AL_56,AL_60,0.5322,0.0
AL_40,AL_124,0.5321,0.0
AL_31,AL_35,0.5321,0.0
AL_49,AL_51,0.5321,0.0
AL_39,AL_52,0.5321,0.0
AL_8,AL_190,0.5321,0.0
AL_21,AL_77,0.532,0.0
AL_70,AL_207,0.532,0.0
AL_314,AL_331,0.532,0.0
AL_14,AL_291,0.532,0.0
AL_71,AL_283,0.532,0.0
AL_62,AL_154,0.532,0.0
AL_101,AL_216,0.5319,0.0
AL_122,AL_216,0.5319,0.0
AL_104,AL_216,0.5319,0.0
AL_173,AL_216,0.5319,0.0
AL_176,AL_216,0.5319,0.0
AL_137,AL_216,0.5319,0.0
AL_140,AL_216,0.5319,0.0
AL_149,AL_216,0.5319,0.0
AL_182,AL_216,0.5319,0.0
AL_170,AL_216,0.5319,0.0
AL_158,AL_216,0.5319,0.0
AL_161,AL_216,0.5319,0.0
AL_107,AL_216,0.5319,0.0
AL_52,AL_199,0.5319,0.0
AL_155,AL_216,0.5319,0.0
AL_116,AL_216,0.5319,0.0
AL_40,AL_112,0.5319,0.0
AL_119,AL_216,0.5319,0.0
AL_152,AL_216,0.5319,0.0
AL_113,AL_216,0.5319,0.0
AL_26,AL_252,0.5319,0.0
AL_146,AL_216,0.5319,0.0
AL_134,AL_216,0.5319,0.0
AL_164,AL_216,0.5319,0.0
AL_143,AL_216,0.5319,0.0
AL_167,AL_216,0.5319,0.0
AL_131,AL_216,0.5319,0.0
AL_179,AL_216,0.5319,0.0
AL_110,AL_216,0.5319,0.0
AL_188,AL_217,0.5319,0.0
AL_125,AL_216,0.5319,0.0
AL_71,AL_211,0.5319,0.0
AL_128,AL_216,0.5319,0.0
AL_64,AL_157,0.5318,0.0
AL_206,AL_215,0.5318,0.0
AL_57,AL_61,0.5318,0.0
AL_52,AL_266,0.5318,0.0
AL_41,AL_303,0.5317,0.0
AL_41,AL_299,0.5317,0.0
AL_156,AL_166,0.5317,0.0
AL_41,AL_320,0.5317,0.0
AL_41,AL_332,0.5317,0.0
AL_7,AL_19,0.5317,0.0
AL_41,AL_309,0.5317,0.0
AL_41,AL_312,0.5317,0.0
AL_41,AL_324,0.5317,0.0
AL_41,AL_307,0.5317,0.0
AL_41,AL_316,0.5317,0.0
AL_70,AL_235,0.5317,0.0
AL_217,AL_262,0.5316,0.0
AL_18,AL_89,0.5316,0.0
AL_62,AL_148,0.5316,0.0
AL_39,AL_67,0.5316,0.0
AL_47,AL_118,0.5316,0.0
AL_185,AL_311,0.5316,0.0
AL_49,AL_97,0.5315,0.0
AL_44,AL_181,0.5315,0.0
AL_43,AL_60,0.5315,0.0
AL_46,AL_95,0.5314,0.0
AL_8,AL_251,0.5313,0.0
AL_48,AL_56,0.5313,0.0
AL_47,AL_169,0.5313,0.0
AL_71,AL_239,0.5313,0.0
AL_114,AL_160,0.5313,0.0
AL_44,AL_139,0.5313,0.0
AL_14,AL_226,0.5313,0.0
AL_206,AL_216,0.5313,0.0
AL_65,AL_178,0.5313,0.0
AL_73,AL_215,0.5313,0.0
AL_14,AL_255,0.5313,0.0
AL_26,AL_103,0.5313,0.0
AL_56,AL_125,0.5312,0.0
AL_56,AL_137,0.5312,0.0
AL_56,AL_134,0.5312,0.0
AL_56,AL_131,0.5312,0.0
AL_56,AL_182,0.5312,0.0
AL_319,AL_326,0.5312,0.0
AL_56,AL_128,0.5312,0.0
AL_56,AL_119,0.5312,0.0
AL_56,AL_122,0.5312,0.0
AL_44,AL_118,0.5312,0.0
AL_56,AL_116,0.5312,0.0
AL_56,AL_113,0.5312,0.0
AL_56,AL_110,0.5312,0.0
AL_56,AL_107,0.5312,0.0
AL_105,AL_142,0.5312,0.0
AL_56,AL_104,0.5312,0.0
AL_56,AL_101,0.5312,0.0
AL_56,AL_140,0.5312,0.0
AL_56,AL_176,0.5312,0.0
AL_56,AL_158,0.5312,0.0
AL_56,AL_179,0.5312,0.0
AL_56,AL_170,0.5312,0.0
AL_56,AL_152,0.5312,0.0
AL_56,AL_173,0.5312,0.0
AL_56,AL_161,0.5312,0.0
AL_70,AL_283,0.5312,0.0
AL_56,AL_149,0.5312,0.0
AL_56,AL_155,0.5312,0.0
AL_56,AL_164,0.5312,0.0
AL_56,AL_167,0.5312,0.0
AL_56,AL_146,0.5312,0.0
AL_56,AL_143,0.5312,0.0
AL_40,AL_157,0.5311,0.0
AL_64,AL_151,0.5311,0.0
AL_49,AL_66,0.5311,0.0
AL_43,AL_172,0.5309,0.0
AL_314,AL_323,0.5309,0.0
AL_40,AL_48,0.5309,0.0
AL_64,AL_115,0.5309,0.0
AL_8,AL_230,0.5309,0.0
AL_41,AL_133,0.5309,0.0
AL_54,AL_55,0.5309,0.0
AL_40,AL_115,0.5308,0.0
AL_99,AL_130,0.5308,0.0
AL_26,AL_178,0.5308,0.0
AL_64,AL_127,0.5308,0.0
AL_64,AL_66,0.5308,0.0
AL_136,AL_162,0.5308,0.0
AL_48,AL_71,0.5307,0.0
AL_14,AL_271,0.5307,0.0
AL_62,AL_133,0.5307,0.0
AL_129,AL_133,0.5307,0.0
AL_44,AL_169,0.5306,0.0
AL_58,AL_66,0.5306,0.0
AL_106,AL_162,0.5306,0.0
AL_47,AL_100,0.5305,0.0
AL_184,AL_186,0.5305,0.0
AL_190,AL_217,0.5304,0.0
AL_73,AL_103,0.5304,0.0
AL_19,AL_89,0.5304,0.0
AL_306,AL_314,0.5303,0.0
AL_184,AL_311,0.5303,0.0
AL_44,AL_303,0.5302,0.0
AL_47,AL_175,0.5302,0.0
AL_44,AL_299,0.5302,0.0
AL_44,AL_309,0.5302,0.0
AL_7,AL_16,0.5302,0.0
AL_8,AL_239,0.5302,0.0
AL_44,AL_312,0.5302,0.0
AL_44,AL_316,0.5302,0.0
AL_44,AL_320,0.5302,0.0
AL_44,AL_307,0.5302,0.0
AL_44,AL_332,0.5302,0.0
AL_51,AL_52,0.5302,0.0
AL_44,AL_324,0.5302,0.0
AL_65,AL_103,0.5302,0.0
AL_7,AL_17,0.5301,0.0
AL_51,AL_64,0.5301,0.0
AL_40,AL_130,0.5301,0.0
AL_297,AL_315,0.5301,0.0
AL_8,AL_247,0.5301,0.0
AL_153,AL_175,0.5301,0.0
AL_217,AL_226,0.53,0.0
AL_43,AL_45,0.53,0.0
AL_47,AL_154,0.53,0.0
AL_154,AL_216,0.5299,0.0
AL_74,AL_172,0.5298,0.0
AL_44,AL_148,0.5298,0.0
AL_67,AL_97,0.5297,0.0
AL_44,AL_154,0.5297,0.0
AL_52,AL_279,0.5297,0.0
AL_185,AL_319,0.5297,0.0
AL_57,AL_71,0.5297,0.0
AL_99,AL_148,0.5297,0.0
AL_42,AL_55,0.5296,0.0
AL_217,AL_239,0.5295,0.0
AL_49,AL_95,0.5295,0.0
AL_62,AL_121,0.5294,0.0
AL_55,AL_115,0.5294,0.0
AL_73,AL_124,0.5294,0.0
AL_44,AL_175,0.5294,0.0
AL_77,AL_327,0.5293,0.0
AL_44,AL_100,0.5293,0.0
AL_60,AL_71,0.5293,0.0
AL_14,AL_239,0.5293,0.0
AL_71,AL_230,0.5293,0.0
AL_74,AL_151,0.5293,0.0
AL_47,AL_145,0.5292,0.0
AL_26,AL_172,0.5292,0.0
AL_8,AL_283,0.5292,0.0
AL_59,AL_103,0.5291,0.0
AL_47,AL_309,0.5291,0.0
AL_47,AL_332,0.5291,0.0
AL_47,AL_324,0.5291,0.0
AL_47,AL_320,0.5291,0.0
AL_47,AL_316,0.5291,0.0
AL_47,AL_312,0.5291,0.0
AL_73,AL_172,0.5291,0.0
AL_47,AL_303,0.5291,0.0
AL_71,AL_207,0.5291,0.0
AL_40,AL_51,0.5291,0.0
AL_47,AL_299,0.5291,0.0
AL_47,AL_307,0.5291,0.0
AL_19,AL_92,0.529,0.0
AL_74,AL_178,0.529,0.0
AL_45,AL_61,0.529,0.0
AL_297,AL_328,0.5289,0.0
AL_8,AL_235,0.5289,0.0
AL_64,AL_215,0.5287,0.0
AL_121,AL_159,0.5287,0.0
AL_302,AL_318,0.5287,0.0
AL_296,AL_330,0.5287,0.0
AL_217,AL_271,0.5287,0.0
AL_65,AL_77,0.5286,0.0
AL_306,AL_322,0.5285,0.0
AL_207,AL_214,0.5284,0.0
AL_77,AL_87,0.5284,0.0
AL_8,AL_211,0.5284,0.0
AL_77,AL_306,0.5284,0.0
AL_217,AL_224,0.5283,0.0
AL_129,AL_181,0.5283,0.0
AL_46,AL_66,0.5283,0.0
AL_210,AL_215,0.5283,0.0
AL_128,AL_215,0.5282,0.0
AL_143,AL_215,0.5282,0.0
AL_119,AL_215,0.5282,0.0
AL_158,AL_215,0.5282,0.0
AL_167,AL_215,0.5282,0.0
AL_107,AL_215,0.5282,0.0
AL_110,AL_215,0.5282,0.0
AL_155,AL_215,0.5282,0.0
AL_140,AL_215,0.5282,0.0
AL_45,AL_73,0.5282,0.0
AL_116,AL_215,0.5282,0.0
AL_164,AL_215,0.5282,0.0
AL_131,AL_215,0.5282,0.0
AL_161,AL_215,0.5282,0.0
AL_182,AL_215,0.5282,0.0
AL_134,AL_215,0.5282,0.0
AL_170,AL_215,0.5282,0.0
AL_149,AL_215,0.5282,0.0
AL_173,AL_215,0.5282,0.0
AL_104,AL_215,0.5282,0.0
AL_113,AL_215,0.5282,0.0
AL_176,AL_215,0.5282,0.0
AL_146,AL_215,0.5282,0.0
AL_101,AL_215,0.5282,0.0
AL_179,AL_215,0.5282,0.0
AL_122,AL_215,0.5282,0.0
AL_125,AL_215,0.5282,0.0
AL_152,AL_215,0.5282,0.0
AL_137,AL_215,0.5282,0.0
AL_43,AL_178,0.5282,0.0
AL_65,AL_69,0.5281,0.0
AL_8,AL_226,0.5281,0.0
AL_61,AL_66,0.5281,0.0
AL_59,AL_172,0.528,0.0
AL_215,AL_274,0.528,0.0
AL_217,AL_283,0.5279,0.0
AL_159,AL_175,0.5279,0.0
AL_40,AL_66,0.5279,0.0
AL_40,AL_181,0.5279,0.0
AL_41,AL_121,0.5278,0.0
AL_33,AL_37,0.5278,0.0
AL_44,AL_145,0.5278,0.0
AL_73,AL_167,0.5278,0.0
AL_73,AL_107,0.5278,0.0
AL_73,AL_134,0.5278,0.0
AL_73,AL_155,0.5278,0.0
AL_73,AL_113,0.5278,0.0
AL_73,AL_152,0.5278,0.0
AL_73,AL_146,0.5278,0.0
AL_73,AL_143,0.5278,0.0
AL_73,AL_140,0.5278,0.0
AL_73,AL_137,0.5278,0.0
AL_73,AL_116,0.5278,0.0
AL_73,AL_158,0.5278,0.0
AL_73,AL_170,0.5278,0.0
AL_73,AL_119,0.5278,0.0
AL_73,AL_131,0.5278,0.0
AL_73,AL_110,0.5278,0.0
AL_73,AL_122,0.5278,0.0
AL_73,AL_128,0.5278,0.0
AL_73,AL_125,0.5278,0.0
AL_73,AL_182,0.5278,0.0
AL_73,AL_149,0.5278,0.0
AL_73,AL_101,0.5278,0.0
AL_73,AL_164,0.5278,0.0
AL_73,AL_179,0.5278,0.0
AL_73,AL_173,0.5278,0.0
AL_73,AL_161,0.5278,0.0
AL_73,AL_104,0.5278,0.0
AL_73,AL_176,0.5278,0.0
AL_8,AL_252,0.5278,0.0
AL_297,AL_323,0.5277,0.0
AL_40,AL_127,0.5277,0.0
AL_39,AL_73,0.5277,0.0
AL_8,AL_255,0.5277,0.0
AL_43,AL_54,0.5276,0.0
AL_64,AL_136,0.5276,0.0
AL_54,AL_70,0.5276,0.0
AL_315,AL_322,0.5276,0.0
AL_43,AL_124,0.5276,0.0
AL_323,AL_326,0.5276,0.0
AL_52,AL_203,0.5275,0.0
AL_42,AL_70,0.5275,0.0
AL_58,AL_172,0.5275,0.0
AL_55,AL_157,0.5275,0.0
AL_43,AL_112,0.5274,0.0
AL_215,AL_294,0.5274,0.0
AL_315,AL_330,0.5274,0.0
AL_47,AL_109,0.5274,0.0
AL_8,AL_199,0.5273,0.0
AL_217,AL_230,0.5271,0.0
AL_74,AL_103,0.5271,0.0
AL_203,AL_328,0.527,0.0
AL_17,AL_83,0.527,0.0
AL_7,AL_137,0.5269,0.0
AL_7,AL_101,0.5269,0.0
AL_7,AL_134,0.5269,0.0
AL_7,AL_143,0.5269,0.0
AL_7,AL_104,0.5269,0.0
AL_7,AL_140,0.5269,0.0
AL_7,AL_107,0.5269,0.0
AL_74,AL_112,0.5269,0.0
AL_7,AL_110,0.5269,0.0
AL_7,AL_146,0.5269,0.0
AL_7,AL_113,0.5269,0.0
AL_7,AL_116,0.5269,0.0
AL_7,AL_155,0.5269,0.0
AL_7,AL_149,0.5269,0.0
AL_7,AL_173,0.5269,0.0
AL_7,AL_119,0.5269,0.0
AL_7,AL_164,0.5269,0.0
AL_7,AL_167,0.5269,0.0
AL_296,AL_318,0.5269,0.0
AL_7,AL_125,0.5269,0.0
AL_7,AL_170,0.5269,0.0
AL_7,AL_128,0.5269,0.0
AL_7,AL_161,0.5269,0.0
AL_7,AL_176,0.5269,0.0
AL_7,AL_179,0.5269,0.0
AL_7,AL_158,0.5269,0.0
AL_7,AL_122,0.5269,0.0
AL_7,AL_152,0.5269,0.0
AL_7,AL_182,0.5269,0.0
AL_7,AL_131,0.5269,0.0
AL_55,AL_151,0.5267,0.0
AL_185,AL_302,0.5267,0.0
AL_73,AL_157,0.5267,0.0
AL_99,AL_142,0.5267,0.0
AL_65,AL_118,0.5267,0.0
AL_73,AL_216,0.5266,0.0
AL_64,AL_118,0.5266,0.0
AL_55,AL_169,0.5266,0.0
AL_43,AL_89,0.5266,0.0
AL_40,AL_136,0.5266,0.0
AL_54,AL_65,0.5266,0.0
AL_55,AL_118,0.5266,0.0
AL_295,AL_296,0.5266,0.0
AL_52,AL_252,0.5265,0.0
AL_67,AL_85,0.5265,0.0
AL_65,AL_127,0.5265,0.0
AL_64,AL_181,0.5264,0.0
AL_8,AL_279,0.5264,0.0
AL_90,AL_92,0.5264,0.0
AL_26,AL_161,0.5263,0.0
AL_26,AL_164,0.5263,0.0
AL_26,AL_288,0.5263,0.0
AL_26,AL_167,0.5263,0.0
AL_26,AL_173,0.5263,0.0
AL_26,AL_119,0.5263,0.0
AL_26,AL_116,0.5263,0.0
AL_55,AL_160,0.5263,0.0
AL_295,AL_323,0.5263,0.0
AL_26,AL_113,0.5263,0.0
AL_26,AL_170,0.5263,0.0
AL_26,AL_176,0.5263,0.0
AL_26,AL_125,0.5263,0.0
AL_26,AL_179,0.5263,0.0
AL_26,AL_182,0.5263,0.0
AL_26,AL_110,0.5263,0.0
AL_26,AL_107,0.5263,0.0
AL_26,AL_104,0.5263,0.0
AL_26,AL_101,0.5263,0.0
AL_26,AL_122,0.5263,0.0
AL_26,AL_158,0.5263,0.0
AL_26,AL_128,0.5263,0.0
AL_26,AL_149,0.5263,0.0
AL_26,AL_134,0.5263,0.0
AL_26,AL_137,0.5263,0.0
AL_26,AL_140,0.5263,0.0
AL_26,AL_155,0.5263,0.0
AL_26,AL_143,0.5263,0.0
AL_26,AL_152,0.5263,0.0
AL_26,AL_131,0.5263,0.0
AL_71,AL_203,0.5263,0.0
AL_26,AL_146,0.5263,0.0
AL_41,AL_166,0.5262,0.0
AL_15,AL_236,0.5262,0.0
AL_15,AL_220,0.5262,0.0
AL_15,AL_292,0.5262,0.0
AL_15,AL_233,0.5262,0.0
AL_15,AL_276,0.5262,0.0
AL_15,AL_256,0.5262,0.0
AL_15,AL_248,0.5262,0.0
AL_15,AL_263,0.5262,0.0
AL_15,AL_231,0.5262,0.0
AL_15,AL_195,0.5262,0.0
AL_15,AL_212,0.5262,0.0
AL_15,AL_272,0.5262,0.0
AL_15,AL_244,0.5262,0.0
AL_15,AL_208,0.5262,0.0
AL_15,AL_197,0.5262,0.0
AL_15,AL_284,0.5262,0.0
AL_215,AL_253,0.5262,0.0
AL_15,AL_280,0.5262,0.0
AL_7,AL_24,0.5262,0.0
AL_7,AL_145,0.5262,0.0
AL_15,AL_191,0.5262,0.0
AL_74,AL_127,0.5261,0.0
AL_14,AL_288,0.5261,0.0
AL_26,AL_82,0.5261,0.0
AL_25,AL_92,0.5261,0.0
AL_55,AL_181,0.5261,0.0
AL_8,AL_194,0.5261,0.0
AL_83,AL_90,0.5261,0.0
AL_15,AL_200,0.526,0.0
AL_15,AL_269,0.526,0.0
AL_15,AL_240,0.526,0.0
AL_17,AL_95,0.526,0.0
AL_65,AL_112,0.526,0.0
AL_15,AL_227,0.526,0.0
AL_26,AL_79,0.526,0.0
AL_199,AL_217,0.526,0.0
AL_15,AL_267,0.526,0.0
AL_8,AL_271,0.526,0.0
AL_44,AL_109,0.526,0.0
AL_15,AL_204,0.526,0.0
AL_52,AL_207,0.526,0.0
AL_295,AL_331,0.5259,0.0
AL_59,AL_89,0.5259,0.0
AL_71,AL_95,0.5258,0.0
AL_7,AL_103,0.5258,0.0
AL_185,AL_186,0.5258,0.0
AL_64,AL_216,0.5258,0.0
AL_41,AL_296,0.5258,0.0
AL_55,AL_133,0.5257,0.0
AL_45,AL_55,0.5257,0.0
AL_48,AL_65,0.5257,0.0
AL_184,AL_319,0.5256,0.0
AL_51,AL_70,0.5256,0.0
AL_196,AL_215,0.5256,0.0
AL_43,AL_48,0.5256,0.0
AL_47,AL_133,0.5256,0.0
AL_14,AL_287,0.5256,0.0
AL_58,AL_89,0.5256,0.0
AL_70,AL_95,0.5254,0.0
AL_52,AL_251,0.5254,0.0
AL_41,AL_142,0.5254,0.0
AL_78,AL_83,0.5254,0.0
AL_65,AL_181,0.5254,0.0
AL_44,AL_133,0.5253,0.0
AL_215,AL_246,0.5252,0.0
AL_65,AL_172,0.5252,0.0
AL_64,AL_130,0.5252,0.0
AL_64,AL_160,0.5252,0.0
AL_216,AL_245,0.5252,0.0
AL_67,AL_69,0.5252,0.0
AL_73,AL_160,0.5251,0.0
AL_296,AL_322,0.5251,0.0
AL_55,AL_100,0.525,0.0
AL_308,AL_311,0.525,0.0
AL_18,AL_92,0.5249,0.0
AL_73,AL_151,0.5249,0.0
AL_74,AL_124,0.5248,0.0
AL_295,AL_306,0.5248,0.0
AL_23,AL_95,0.5248,0.0
AL_56,AL_172,0.5247,0.0
AL_59,AL_178,0.5247,0.0
AL_77,AL_93,0.5247,0.0
AL_216,AL_253,0.5247,0.0
AL_64,AL_139,0.5246,0.0
AL_73,AL_127,0.5246,0.0
AL_8,AL_275,0.5246,0.0
AL_40,AL_160,0.5246,0.0
AL_7,AL_25,0.5246,0.0
AL_92,AL_327,0.5246,0.0
AL_56,AL_127,0.5246,0.0
AL_308,AL_319,0.5245,0.0
AL_46,AL_51,0.5245,0.0
AL_69,AL_71,0.5244,0.0
AL_41,AL_163,0.5244,0.0
AL_95,AL_315,0.5244,0.0
AL_41,AL_77,0.5244,0.0
AL_67,AL_208,0.5243,0.0
AL_67,AL_197,0.5243,0.0
AL_67,AL_212,0.5243,0.0
AL_67,AL_195,0.5243,0.0
AL_67,AL_191,0.5243,0.0
AL_67,AL_220,0.5243,0.0
AL_55,AL_148,0.5243,0.0
AL_67,AL_231,0.5243,0.0
AL_40,AL_169,0.5243,0.0
AL_44,AL_121,0.5243,0.0
AL_67,AL_236,0.5243,0.0
AL_67,AL_233,0.5243,0.0
AL_43,AL_179,0.5243,0.0
AL_43,AL_119,0.5243,0.0
AL_43,AL_122,0.5243,0.0
AL_43,AL_125,0.5243,0.0
AL_43,AL_176,0.5243,0.0
AL_67,AL_292,0.5243,0.0
AL_43,AL_173,0.5243,0.0
AL_43,AL_170,0.5243,0.0
AL_43,AL_143,0.5243,0.0
AL_43,AL_164,0.5243,0.0
AL_43,AL_128,0.5243,0.0
AL_43,AL_161,0.5243,0.0
AL_43,AL_158,0.5243,0.0
AL_43,AL_131,0.5243,0.0
AL_43,AL_155,0.5243,0.0
AL_43,AL_152,0.5243,0.0
AL_8,AL_219,0.5243,0.0
AL_43,AL_134,0.5243,0.0
AL_43,AL_137,0.5243,0.0
AL_43,AL_149,0.5243,0.0
AL_43,AL_140,0.5243,0.0
AL_67,AL_284,0.5243,0.0
AL_43,AL_167,0.5243,0.0
AL_67,AL_256,0.5243,0.0
AL_67,AL_272,0.5243,0.0
AL_67,AL_244,0.5243,0.0
AL_67,AL_248,0.5243,0.0
AL_43,AL_101,0.5243,0.0
AL_43,AL_104,0.5243,0.0
AL_67,AL_263,0.5243,0.0
AL_43,AL_107,0.5243,0.0
AL_43,AL_110,0.5243,0.0
AL_43,AL_146,0.5243,0.0
AL_43,AL_113,0.5243,0.0
AL_43,AL_116,0.5243,0.0
AL_67,AL_280,0.5243,0.0
AL_67,AL_276,0.5243,0.0
AL_43,AL_182,0.5243,0.0
AL_330,AL_331,0.5242,0.0
AL_54,AL_67,0.5242,0.0
AL_47,AL_121,0.5242,0.0
AL_26,AL_80,0.5242,0.0
AL_65,AL_160,0.5241,0.0
AL_260,AL_328,0.5241,0.0
AL_55,AL_127,0.5241,0.0
AL_51,AL_56,0.5241,0.0
AL_73,AL_115,0.5241,0.0
AL_297,AL_319,0.524,0.0
AL_62,AL_166,0.524,0.0
AL_74,AL_130,0.524,0.0
AL_45,AL_56,0.524,0.0
AL_8,AL_287,0.5239,0.0
AL_217,AL_235,0.5239,0.0
AL_64,AL_169,0.5239,0.0
AL_7,AL_23,0.5239,0.0
AL_58,AL_103,0.5239,0.0
AL_59,AL_151,0.5239,0.0
AL_62,AL_307,0.5238,0.0
AL_62,AL_332,0.5238,0.0
AL_62,AL_324,0.5238,0.0
AL_62,AL_320,0.5238,0.0
AL_62,AL_312,0.5238,0.0
AL_62,AL_316,0.5238,0.0
AL_62,AL_299,0.5238,0.0
AL_62,AL_303,0.5238,0.0
AL_15,AL_219,0.5238,0.0
AL_62,AL_309,0.5238,0.0
AL_215,AL_222,0.5238,0.0
AL_55,AL_124,0.5237,0.0
AL_65,AL_124,0.5237,0.0
AL_58,AL_124,0.5237,0.0
AL_219,AL_328,0.5237,0.0
AL_89,AL_186,0.5237,0.0
AL_64,AL_145,0.5237,0.0
AL_314,AL_319,0.5237,0.0
AL_67,AL_269,0.5236,0.0
AL_67,AL_200,0.5236,0.0
AL_67,AL_267,0.5236,0.0
AL_99,AL_127,0.5236,0.0
AL_67,AL_240,0.5236,0.0
AL_67,AL_227,0.5236,0.0
AL_62,AL_163,0.5236,0.0
AL_217,AL_275,0.5236,0.0
AL_43,AL_66,0.5236,0.0
AL_67,AL_204,0.5236,0.0
AL_200,AL_217,0.5235,0.0
AL_204,AL_217,0.5235,0.0
AL_305,AL_306,0.5235,0.0
AL_217,AL_240,0.5235,0.0
AL_217,AL_227,0.5235,0.0
AL_217,AL_269,0.5235,0.0
AL_217,AL_267,0.5235,0.0
AL_210,AL_216,0.5234,0.0
AL_302,AL_313,0.5234,0.0
AL_271,AL_328,0.5234,0.0
AL_7,AL_20,0.5234,0.0
AL_295,AL_311,0.5234,0.0
AL_56,AL_130,0.5234,0.0
AL_64,AL_121,0.5234,0.0
AL_64,AL_175,0.5234,0.0
AL_73,AL_296,0.5233,0.0
AL_40,AL_139,0.5233,0.0
AL_7,AL_21,0.5233,0.0
